age,gender,weight_kg,activity_level,purpose,lean_body_mass_kg,bmr,protein_need_per_lean_kg_sedentary,protein_need_per_lean_kg_active,protein_need_per_lean_kg_very_active,protein_per_kg_min,protein_per_kg_moderate,protein_per_kg_max,activity_protein_multiplier,adjusted_protein_need,age_protein_factor,protein_for_age_group,gender_protein_base,protein_gender_adjusted,purpose_protein_multiplier,protein_for_purpose,lean_to_total_ratio,muscle_mass_score,bmr_per_kg,protein_metabolic_need,training_intensity,recovery_protein_need,protein_g
44,Male,88.3,sedentary,weight_gain,,1777,103.2,141.9,167.7,70.64,105.96,176.6,0.8,103.2,1,105.96,1.4,123.62,1.5,193.5,0.730464326,47.11494904,20.12457531,17.77,0,116.1,147
68,Female,50.6,lightly_active,weight_loss,33.8,1053,54.08,74.36,87.88,40.48,60.72,101.2,1.1,74.36,1.2,72.864,1.2,60.72,1.3,87.88,0.66798419,22.57786561,20.81027668,10.53,0,60.84,92
25,Female,51.3,moderately_active,weight_loss,,1224,62.24,85.58,101.14,41.04,61.56,102.6,1.4,108.92,1,61.56,1.2,61.56,1.3,101.14,0.7582846,29.49727096,23.85964912,12.24,0,70.02,117
32,Female,46.2,lightly_active,weight_loss,36,1166,57.6,79.2,93.6,36.96,55.44,92.4,1.1,79.2,1,55.44,1.2,55.44,1.3,93.6,0.779220779,28.05194805,25.23809524,11.66,0,64.8,106
42,Male,75,sedentary,muscle_gain,58.6,1648,93.76,128.92,152.36,60,90,150,0.8,93.76,1,90,1.4,105,1,117.2,0.781333333,45.78613333,21.97333333,16.48,0,105.48,153
21,Male,70.7,sedentary,maintain,57.8,1647,92.48,127.16,150.28,56.56,84.84,141.4,0.8,92.48,1,84.84,1.4,98.98,1,115.6,0.817538897,47.25374823,23.29561528,16.47,0,104.04,73
39,Male,45.3,sedentary,weight_loss,40.3,1301,64.48,88.66,104.78,36.24,54.36,90.6,0.8,64.48,1,54.36,1.4,63.42,1.3,104.78,0.889624724,35.85187638,28.7196468,13.01,0,72.54,108
32,Female,60.4,lightly_active,weight_loss,,1253,65.6,90.2,106.6,48.32,72.48,120.8,1.1,90.2,1,72.48,1.2,72.48,1.3,106.6,0.678807947,27.83112583,20.74503311,12.53,0,73.8,134
66,Female,69.1,sedentary,muscle_gain,42,1261,67.2,92.4,109.2,55.28,82.92,138.2,0.8,67.2,1.2,99.504,1.2,82.92,1,84,0.607814761,25.52821997,18.24891462,12.61,0,75.6,137
26,Female,60.4,sedentary,maintain,44.3,1344,70.88,97.46,115.18,48.32,72.48,120.8,0.8,70.88,1,72.48,1.2,72.48,1,88.6,0.733443709,32.49155629,22.25165563,13.44,0,79.74,82
68,Male,57.3,lightly_active,weight_gain,43.3,1287,69.28,95.26,112.58,45.84,68.76,114.6,1.1,95.26,1.2,82.512,1.4,80.22,1.5,129.9,0.755671902,32.72059337,22.46073298,12.87,2,95.26,90
39,Female,67.2,lightly_active,weight_loss,44.8,1342,71.68,98.56,116.48,53.76,80.64,134.4,1.1,98.56,1,80.64,1.2,80.64,1.3,116.48,0.666666667,29.86666667,19.9702381,13.42,0,80.64,147
